comments,purchase_rate,recommended_rate,rating,comments.scale,purchase_rate.scale,recommended_rate.scale,rating.scale
2,0,1,5,0.022495401,0,1.565879878,1.157009452
25,0.08,0.88,4.4,0.281192507,0.435033107,1.377974293,1.018168318
6,0.3333,0.8333,4.3333,0.067486202,1.812456684,1.304847703,1.002733812
3,0.6667,0.6667,4.3333,0.033743101,3.625457159,1.043972115,1.002733812
15,0,1,4.7333,0.168715504,0,1.565879878,1.095294568
1,0,0,2,0.0112477,0,0,0.462803781
34,0.1471,0.9412,4.6176,0.38242181,0.799917126,1.473806141,1.068521369
4,0,0.25,4.75,0.044990801,0,0.39146997,1.09915898
11,0.3636,0.3636,4.3636,0.123724703,1.977225473,0.569353924,1.009745289
1,0,0,2,0.0112477,0,0,0.462803781
1,0,1,1,0.0112477,0,1.565879878,0.23140189
26,0.0385,0.5,4.7692,0.292440207,0.209359683,0.782939939,1.103601896
1,0,1,5,0.0112477,0,1.565879878,1.157009452
13,0,1,4.8462,0.146220104,0,1.565879878,1.121419842
1,0,0,1,0.0112477,0,0,0.23140189
4,0.75,0.75,4.25,0.044990801,4.078435382,1.174409909,0.983458035
3,1,0.3333,3.3333,0.033743101,5.437913842,0.521907763,0.771331922
9,0.1111,0.3333,4.6667,0.101229303,0.604152228,0.521907763,1.079883202
4,0,0.25,4.75,0.044990801,0,0.39146997,1.09915898
7,0.8571,1,4.4286,0.078733902,4.660835954,1.565879878,1.024786412
10,0,0,4.1,0.112477003,0,0,0.948747751
2,0,1,5,0.022495401,0,1.565879878,1.157009452
61,0.0328,1,4.8361,0.686109717,0.178363574,1.565879878,1.119082683
6,0,0,3.8333,0.067486202,0,0,0.887032867
2,0,1,5,0.022495401,0,1.565879878,1.157009452
8,0,0,4.5,0.089981602,0,0,1.041308507
28,0,0.0357,3.1786,0.314935608,0,0.055901912,0.735534049
19,0,0,4.5789,0.213706305,0,0,1.059566116
5,0,0.8,5,0.056238501,0,1.252703903,1.157009452
17,0,0.8824,4.1176,0.191210905,0,1.381732405,0.952820424
15,0.1333,0.8667,4.4667,0.168715504,0.724873915,1.357148091,1.033602824
2,0,0.5,5,0.022495401,0,0.782939939,1.157009452
2,0,0,5,0.022495401,0,0,1.157009452
2,0,1,5,0.022495401,0,1.565879878,1.157009452
3,0,0,4,0.033743101,0,0,0.925607562
1,0,0,1,0.0112477,0,0,0.23140189
2,0,0,3.5,0.022495401,0,0,0.809906617
4,0,0.25,4.5,0.044990801,0,0.39146997,1.041308507
65,0.4,0.9538,4.7385,0.731100518,2.175165537,1.493536228,1.096497858
43,0.0465,0.9767,4.6977,0.483651112,0.252862994,1.529394877,1.087056661
4,1,1,4,0.044990801,5.437913842,1.565879878,0.925607562
1,0,1,5,0.0112477,0,1.565879878,1.157009452
12,0,0,4.75,0.134972403,0,0,1.09915898
11,0.1818,0.9091,4.6364,0.123724703,0.988612737,1.423541397,1.072871725
1,0,0,5,0.0112477,0,0,1.157009452
12,0.1667,1,4.5,0.134972403,0.906500238,1.565879878,1.041308507
22,0.4091,0.8636,4.6364,0.247449406,2.224650553,1.352293863,1.072871725
1886,0,0.5997,4.6039,21.21316274,0,0.939058163,1.065351164
8,0,0.875,4.25,0.089981602,0,1.370144894,0.983458035
17,0,0.7059,3.9412,0.191210905,0,1.105354606,0.912001131
1,1,1,4,0.0112477,5.437913842,1.565879878,0.925607562
1439,0.0236,0.9583,4.8263,16.18544071,0.128334767,1.500582687,1.116814944
1,0,1,5,0.0112477,0,1.565879878,1.157009452
262,0.126,0.4084,3.5534,2.946897474,0.685177144,0.639505342,0.822263478
8,0.25,0.875,4.375,0.089981602,1.359478461,1.370144894,1.012383271
1,0,1,4,0.0112477,0,1.565879878,0.925607562
2,0,1,4.5,0.022495401,0,1.565879878,1.041308507
31,0.4839,0.871,4.6452,0.348678709,2.631406508,1.363881374,1.074908062
1,0,1,5,0.0112477,0,1.565879878,1.157009452
13,0.3846,0.7692,4,0.146220104,2.091421664,1.204474802,0.925607562
4,0,1,5,0.044990801,0,1.565879878,1.157009452
7,0,1,3.7143,0.078733902,0,1.565879878,0.859496042
76,0,0.7105,3.9605,0.854825222,0,1.112557654,0.916467187
9,0,0.1111,4.5556,0.101229303,0,0.173969254,1.054174452
587,0.8126,0.8126,4.3101,6.602400067,4.418848788,1.272433989,0.997365288
4,0,1,5,0.044990801,0,1.565879878,1.157009452
2,0,0.5,3.5,0.022495401,0,0.782939939,0.809906617
1,0,0,5,0.0112477,0,0,1.157009452
18,0.2778,1,4.7222,0.202458605,1.510652465,1.565879878,1.092726007
32,0.0625,0.9063,4.3438,0.359926409,0.339869615,1.419156934,1.005163532
35,0.1429,0.9429,4.5429,0.39366951,0.777077888,1.476468137,1.051235648
39,0,0.7179,4.9231,0.438660311,0,1.124145165,1.139214647
4,0.25,1,4.75,0.044990801,1.359478461,1.565879878,1.09915898
1,0,0,4,0.0112477,0,0,0.925607562
2,0,1,5,0.022495401,0,1.565879878,1.157009452
10,0,0.7,4.1,0.112477003,0,1.096115915,0.948747751
8,0.125,1,4.875,0.089981602,0.67973923,1.565879878,1.128084216
8,0.125,0.875,4.75,0.089981602,0.67973923,1.370144894,1.09915898
1,0,1,5,0.0112477,0,1.565879878,1.157009452
2,0.5,0.5,3.5,0.022495401,2.718956921,0.782939939,0.809906617
463,0.9568,0.8661,4.2009,5.207685231,5.202995964,1.356208563,0.972096202
27,0.037,1,4.7778,0.303687908,0.201202812,1.565879878,1.105591952
178,0.0674,0.9438,4.7022,2.002090651,0.366515393,1.477877429,1.088097969
2,0.5,1,4,0.022495401,2.718956921,1.565879878,0.925607562
6,0.3333,0.8333,4.3333,0.067486202,1.812456684,1.304847703,1.002733812
2,0.5,0.5,5,0.022495401,2.718956921,0.782939939,1.157009452
1,1,0,2,0.0112477,5.437913842,0,0.462803781
5,0,0,4.4,0.056238501,0,0,1.018168318
17,0.4118,0.4706,4.2941,0.191210905,2.23933292,0.736903071,0.993662858
1,1,1,5,0.0112477,5.437913842,1.565879878,1.157009452
1,0,0,2,0.0112477,0,0,0.462803781
3,1,1,5,0.033743101,5.437913842,1.565879878,1.157009452
3,0,1,5,0.033743101,0,1.565879878,1.157009452
1,0,0,1,0.0112477,0,0,0.23140189
2283,0.0074,0.3009,4.456,25.67849975,0.040240562,0.471173255,1.031126824
16,0.5625,0.9375,4.875,0.179963205,3.058826536,1.468012386,1.128084216
113,0,0.9558,4.8142,1.270990132,0,1.496667988,1.114014981
9,0,0.8889,4.6667,0.101229303,0,1.391910624,1.079883202
1,0,0,5,0.0112477,0,0,1.157009452
12,0.4167,0.9167,4.4167,0.134972403,2.265978698,1.435442084,1.02203273
1,0,0,3,0.0112477,0,0,0.694205671
2,0,0.5,5,0.022495401,0,0.782939939,1.157009452
2,0,0.5,5,0.022495401,0,0.782939939,1.157009452
14,0,0.2857,2.4286,0.157467804,0,0.447371881,0.561982631
46,0,0.0435,3.3696,0.517394213,0,0.068115775,0.77973181
2,0,1,4,0.022495401,0,1.565879878,0.925607562
9,0,0.3333,3.8889,0.101229303,0,0.521907763,0.899898812
74,0.0405,0.9054,4.7568,0.832329821,0.220235511,1.417747642,1.100732513
13,0.3077,0.7692,4.6154,0.146220104,1.673246089,1.204474802,1.068012285
6,0,0,4.1667,0.067486202,0,0,0.964182257
2,0,1,5,0.022495401,0,1.565879878,1.157009452
2,0,0.5,2.5,0.022495401,0,0.782939939,0.578504726
5,0,0,3.4,0.056238501,0,0,0.786766428
2,1,0.5,4.5,0.022495401,5.437913842,0.782939939,1.041308507
2,0,1,4.5,0.022495401,0,1.565879878,1.041308507
1,0,1,5,0.0112477,0,1.565879878,1.157009452
5,0,1,4.8,0.056238501,0,1.565879878,1.110729074
100,0,0.76,4.73,1.124770028,0,1.190068708,1.094530942
3,0,1,3.6667,0.033743101,0,1.565879878,0.848481312
1,0,1,5,0.0112477,0,1.565879878,1.157009452
1,1,1,5,0.0112477,5.437913842,1.565879878,1.157009452
12,0.5833,0.9167,4.5,0.134972403,3.171935144,1.435442084,1.041308507
3,0.6667,1,5,0.033743101,3.625457159,1.565879878,1.157009452
2,0,0,3,0.022495401,0,0,0.694205671
25,0.08,0.28,3.84,0.281192507,0.435033107,0.438446366,0.888583259
9,0.3333,0.8889,4.4444,0.101229303,1.812456684,1.391910624,1.028442562
2,0.5,1,4.5,0.022495401,2.718956921,1.565879878,1.041308507
63,0.5714,0.9365,4.7302,0.708605118,3.107223969,1.466446506,1.094577222
11,0.7273,1,4.9091,0.123724703,3.954994737,1.565879878,1.135975021
423,0.0567,0.9291,4.7943,4.75777722,0.308329715,1.454858995,1.109410084
1,0,1,5,0.0112477,0,1.565879878,1.157009452
11,0,0.9091,4.6364,0.123724703,0,1.423541397,1.072871725
1,0,1,5,0.0112477,0,1.565879878,1.157009452
2,0.5,1,5,0.022495401,2.718956921,1.565879878,1.157009452
1,0,0,3,0.0112477,0,0,0.694205671
82,0.2317,0.9512,4.7439,0.922311423,1.259964637,1.48946494,1.097747428
65,0.0923,0.8923,4.5692,0.731100518,0.501919448,1.397234615,1.057321518
1,0,1,3,0.0112477,0,1.565879878,0.694205671
1,0,1,5,0.0112477,0,1.565879878,1.157009452
1,0,1,5,0.0112477,0,1.565879878,1.157009452
1,0,1,5,0.0112477,0,1.565879878,1.157009452
1,0,0,5,0.0112477,0,0,1.157009452
4,0,1,5,0.044990801,0,1.565879878,1.157009452
1,0,1,5,0.0112477,0,1.565879878,1.157009452
355,0.0085,0.8225,4.1465,3.992933601,0.046222268,1.2879362,0.959507939
1408,0,0.9595,4.5625,15.836762,0,1.502461743,1.055771125
4,0.5,0.5,3,0.044990801,2.718956921,0.782939939,0.694205671
562,0.0107,0.9662,4.411,6.32120756,0.058185678,1.512953138,1.020713739
1,0,1,5,0.0112477,0,1.565879878,1.157009452
