InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,InvoiceDateTime
0,22574,HEART WOODEN CHRISTMAS DECORATION,-192,"12/2/2010,4:58",0.72,16546,2010-12-02 04:58:00
0,22593,CHRISTMAS GINGHAM STAR,-144,"12/2/2010,4:58",0.72,16546,2010-12-02 04:58:00
0,22595,CHRISTMAS GINGHAM HEART,-144,"12/2/2010,4:58",0.72,16546,2010-12-02 04:58:00
0,22588,CARD HOLDER GINGHAM HEART,-192,"12/2/2010,4:58",2.10,16546,2010-12-02 04:58:00
0,22130,PARTY CONE CHRISTMAS DECORATION ,-144,"12/2/2010,4:58",0.72,16546,2010-12-02 04:58:00
0,21527,RED RETROSPOT TRADITIONAL TEAPOT ,-2,"12/2/2010,5:03",7.95,13958,2010-12-02 05:03:00
0,72799E,IVORY PILLAR CANDLE SILVER FLOCK,-6,"12/2/2010,5:03",2.95,13958,2010-12-02 05:03:00
0,85066,CREAM SWEETHEART MINI CHEST,-2,"12/2/2010,5:03",9.99,13958,2010-12-02 05:03:00
0,21586,KINGS CHOICE GIANT TUBE MATCHES,-12,"12/2/2010,5:03",2.55,13958,2010-12-02 05:03:00
0,21258,VICTORIAN SEWING BOX LARGE,-1,"12/2/2010,5:03",9.99,13958,2010-12-02 05:03:00
0,85175,CACTI T-LIGHT CANDLES,-1,"12/2/2010,5:05",0.42,14443,2010-12-02 05:05:00
0,22178,VICTORIAN GLASS HANGING T-LIGHT,-1,"12/2/2010,5:05",1.25,14443,2010-12-02 05:05:00
0,21129,SILVER FISHING GNOME ,-2,"12/2/2010,5:06",6.95,14443,2010-12-02 05:06:00
0,22187,GREEN CHRISTMAS TREE CARD HOLDER,-1,"12/2/2010,5:08",4.25,14156,2010-12-02 05:08:00
0,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,-1,"12/2/2010,5:08",3.25,14156,2010-12-02 05:08:00
0,84947,ANTIQUE SILVER TEA GLASS ENGRAVED,-1,"12/2/2010,5:09",1.25,16995,2010-12-02 05:09:00
0,22877,NUMBER TILE COTTAGE GARDEN 9,-1,"12/2/2010,5:14",1.95,18168,2010-12-02 05:14:00
0,22869,NUMBER TILE COTTAGE GARDEN 1,-1,"12/2/2010,5:14",1.95,18168,2010-12-02 05:14:00
0,22878,NUMBER TILE COTTAGE GARDEN No,-1,"12/2/2010,5:14",2.10,18168,2010-12-02 05:14:00
0,21843,RED RETROSPOT CAKE STAND,-1,"12/2/2010,5:14",9.99,18168,2010-12-02 05:14:00
0,22847,BREAD BIN DINER STYLE IVORY,-2,"12/2/2010,5:19",9.99,14625,2010-12-02 05:19:00
0,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,-1,"12/2/2010,5:19",3.75,14625,2010-12-02 05:19:00
0,22617,BAKING SET SPACEBOY DESIGN,-1,"12/2/2010,5:27",4.95,15384,2010-12-02 05:27:00
0,22197,SMALL POPCORN HOLDER,-2,"12/2/2010,5:27",0.85,15384,2010-12-02 05:27:00
0,35004B,SET OF 3 BLACK FLYING DUCKS,-2,"12/2/2010,5:30",4.65,17924,2010-12-02 05:30:00
0,35004B,SET OF 3 BLACK FLYING DUCKS,-3,"12/2/2010,5:30",4.65,17924,2010-12-02 05:30:00
0,21527,RED RETROSPOT TRADITIONAL TEAPOT ,-3,"12/2/2010,5:31",6.95,13408,2010-12-02 05:31:00
0,22832,BROCANTE SHELF WITH HOOKS,-1,"12/2/2010,5:35",9.99,14264,2010-12-02 05:35:00
0,84946,ANTIQUE SILVER TEA GLASS ETCHED,-3,"12/2/2010,5:35",1.25,14264,2010-12-02 05:35:00
0,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,-1,"12/2/2010,5:36",3.25,13295,2010-12-02 05:36:00
0,22942,CHRISTMAS LIGHTS 10 SANTAS ,-48,"12/3/2010,9:47",7.65,14213,2010-12-03 09:47:00
0,22689,DOORMAT MERRY CHRISTMAS RED ,-50,"12/3/2010,9:47",6.75,14213,2010-12-03 09:47:00
0,22591,CARDHOLDER GINGHAM CHRISTMAS TREE,-50,"12/3/2010,9:47",2.55,14213,2010-12-03 09:47:00
0,22580,ADVENT CALENDAR GINGHAM SACK,-48,"12/3/2010,9:47",4.95,14213,2010-12-03 09:47:00
0,22186,RED STAR CARD HOLDER,-48,"12/3/2010,9:47",2.55,14213,2010-12-03 09:47:00
0,84678,CLASSICAL ROSE SMALL VASE,-1,"12/3/2010,10:0",2.55,14679,2010-12-03 10:00:00
0,22158,3 HEARTS HANGING DECORATION RUSTIC,-1,"12/3/2010,10:0",2.95,15240,2010-12-03 10:00:00
0,22944,CHRISTMAS METAL POSTCARD WITH BELLS,-1,"12/3/2010,10:0",1.25,15240,2010-12-03 10:00:00
0,21871,SAVE THE PLANET MUG,-1,"12/3/2010,10:0",1.25,15240,2010-12-03 10:00:00
0,21527,RED RETROSPOT TRADITIONAL TEAPOT ,-4,"12/3/2010,10:1",7.95,18225,2010-12-03 10:01:00
0,22776,SWEETHEART CAKESTAND 3 TIER,-1,"12/3/2010,2:19",9.95,17954,2010-12-03 02:19:00
0,84685,BEACH HUT KEY CABINET,-1,"12/3/2010,2:23",3.75,17841,2010-12-03 02:23:00
0,22630,DOLLY GIRL LUNCH BOX,-1,"12/3/2010,2:23",1.95,17841,2010-12-03 02:23:00
536996,22712,,-20,"12/3/2010,3:30",0.00,0,2010-12-03 03:30:00
536997,22028,,-20,"12/3/2010,3:30",0.00,0,2010-12-03 03:30:00
536998,85067,,-6,"12/3/2010,3:30",0.00,0,2010-12-03 03:30:00
537000,21414,,-22,"12/3/2010,3:32",0.00,0,2010-12-03 03:32:00
537001,21653,,-6,"12/3/2010,3:33",0.00,0,2010-12-03 03:33:00
537003,85126,,-2,"12/3/2010,3:33",0.00,0,2010-12-03 03:33:00
537004,21814,,-30,"12/3/2010,3:34",0.00,0,2010-12-03 03:34:00
537005,21692,,-70,"12/3/2010,3:35",0.00,0,2010-12-03 03:35:00
537006,21648,,-130,"12/3/2010,3:36",0.00,0,2010-12-03 03:36:00
537007,21172,,-80,"12/3/2010,3:36",0.00,0,2010-12-03 03:36:00
537008,21161,,-120,"12/3/2010,3:37",0.00,0,2010-12-03 03:37:00
537009,84534B,,-80,"12/3/2010,3:38",0.00,0,2010-12-03 03:38:00
537010,22162,,-40,"12/3/2010,3:38",0.00,0,2010-12-03 03:38:00
537011,22139,,-5,"12/3/2010,3:38",0.00,0,2010-12-03 03:38:00
537012,21535,,-12,"12/3/2010,3:39",0.00,0,2010-12-03 03:39:00
537013,35965,,-25,"12/3/2010,3:40",0.00,0,2010-12-03 03:40:00
537014,21040,,-20,"12/3/2010,3:40",0.00,0,2010-12-03 03:40:00
537015,37464,,-14,"12/3/2010,3:41",0.00,0,2010-12-03 03:41:00
537016,21836,,-15,"12/3/2010,3:41",0.00,0,2010-12-03 03:41:00
537017,47556B,,-69,"12/3/2010,3:41",0.00,0,2010-12-03 03:41:00
537018,84562A,,-3,"12/3/2010,3:42",0.00,0,2010-12-03 03:42:00
537019,37474,,-15,"12/3/2010,3:43",0.00,0,2010-12-03 03:43:00
537020,21807,,-30,"12/3/2010,3:43",0.00,0,2010-12-03 03:43:00
537021,21011,,-20,"12/3/2010,3:43",0.00,0,2010-12-03 03:43:00
0,20893,HANGING BAUBLE T-LIGHT HOLDER SMALL,-36,"12/3/2010,4:21",2.10,13941,2010-12-03 04:21:00
537027,18098C,,-140,"12/3/2010,4:36",0.00,0,2010-12-03 04:36:00
537028,21696,,-320,"12/3/2010,4:36",0.00,0,2010-12-03 04:36:00
537029,37476,,-6,"12/3/2010,4:37",0.00,0,2010-12-03 04:37:00
537032,21275,?,-30,"12/3/2010,4:50",0.00,0,2010-12-03 04:50:00
0,22854,CREAM SWEETHEART EGG HOLDER,-1,"12/5/2010,10:2",4.95,15708,2010-12-05 10:02:00
0,20936,FORKED CACTUS CANDLE,-1,"12/5/2010,10:2",2.95,15708,2010-12-05 10:02:00
0,85175,CACTI T-LIGHT CANDLES,-1,"12/5/2010,10:2",0.42,15708,2010-12-05 10:02:00
0,22575,METAL MERRY CHRISTMAS WREATH,-6,"12/5/2010,10:4",1.95,15351,2010-12-05 10:04:00
0,11001,ASSTD DESIGN RACING CAR PEN,-1,"12/5/2010,10:4",1.69,15351,2010-12-05 10:04:00
0,22788,BROCANTE COAT RACK,-2,"12/5/2010,12:2",8.50,15221,2010-12-05 12:02:00
0,22184,CAKE STAND VICTORIAN FILIGREE LARGE,-1,"12/5/2010,12:2",8.50,15221,2010-12-05 12:02:00
0,71279,PINK GLASS CANDLEHOLDER,-2,"12/5/2010,12:2",2.95,15221,2010-12-05 12:02:00
0,22761,CHEST 7 DRAWER MA CAMPAGNE,-2,"12/5/2010,12:2",9.99,15221,2010-12-05 12:02:00
0,22769,CHALKBOARD KITCHEN ORGANISER,-8,"12/5/2010,12:2",9.99,15221,2010-12-05 12:02:00
0,22762,CUPBOARD 3 DRAWER MA CAMPAGNE,-3,"12/5/2010,12:2",9.99,15221,2010-12-05 12:02:00
0,20685,DOORMAT RED RETROSPOT,-1,"12/5/2010,12:5",7.95,12748,2010-12-05 12:05:00
0,35953,FOLKART STAR CHRISTMAS DECORATIONS,-24,"12/5/2010,1:09",1.25,15880,2010-12-05 01:09:00
0,37449,CERAMIC CAKE STAND + HANGING CAKES,-1,"12/5/2010,2:44",9.95,14606,2010-12-05 02:44:00
0,21424,WOODLAND STORAGE BOX LARGE ,-1,"12/5/2010,2:44",2.95,14606,2010-12-05 02:44:00
0,84840,SWEETHEART CARRY-ALL BASKET,-2,"12/6/2010,9:31",8.50,12586,2010-12-06 09:31:00
0,22653,BUTTON BOX ,-20,"12/6/2010,9:40",1.95,16161,2010-12-06 09:40:00
0,22429,ENAMEL MEASURING JUG CREAM,-2,"12/6/2010,10:4",4.25,0,2010-12-06 10:04:00
0,22620,4 TRADITIONAL SPINNING TOPS,-8,"12/6/2010,10:4",1.25,0,2010-12-06 10:04:00
0,21890,S/6 WOODEN SKITTLES IN COTTON BAG,-2,"12/6/2010,10:4",2.95,0,2010-12-06 10:04:00
0,22564,ALPHABET STENCIL CRAFT,-5,"12/6/2010,10:4",1.25,0,2010-12-06 10:04:00
0,21891,TRADITIONAL WOODEN SKIPPING ROPE,-3,"12/6/2010,10:4",1.25,0,2010-12-06 10:04:00
0,22747,POPPY'S PLAYHOUSE BATHROOM,-6,"12/6/2010,10:4",2.10,0,2010-12-06 10:04:00
0,22454,MEASURING TAPE BABUSHKA RED,-8,"12/6/2010,10:4",2.95,0,2010-12-06 10:04:00
0,22327,ROUND SNACK BOXES SET OF 4 SKULLS,-4,"12/6/2010,10:4",2.95,0,2010-12-06 10:04:00
0,21915,RED  HARMONICA IN BOX ,-4,"12/6/2010,10:4",1.25,0,2010-12-06 10:04:00
0,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,-9,"12/6/2010,10:4",2.55,0,2010-12-06 10:04:00
0,22748,POPPY'S PLAYHOUSE KITCHEN,-4,"12/6/2010,10:4",2.10,0,2010-12-06 10:04:00
0,22943,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,-6,"12/6/2010,10:4",4.95,0,2010-12-06 10:04:00
0,22418,10 COLOUR SPACEBOY PEN,-7,"12/6/2010,10:4",0.85,0,2010-12-06 10:04:00
0,22911,PAPER CHAIN KIT LONDON,-2,"12/6/2010,10:4",2.95,0,2010-12-06 10:04:00
0,22940,FELTCRAFT CHRISTMAS FAIRY,-5,"12/6/2010,10:4",4.25,0,2010-12-06 10:04:00
0,22141,CHRISTMAS CRAFT TREE TOP ANGEL,-8,"12/6/2010,10:4",2.10,0,2010-12-06 10:04:00
0,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,-2,"12/6/2010,10:4",2.95,0,2010-12-06 10:04:00
0,22536,MAGIC DRAWING SLATE PURDEY,-11,"12/6/2010,10:4",0.42,0,2010-12-06 10:04:00
0,21826,EIGHT PIECE DINOSAUR SET,-4,"12/6/2010,10:4",1.25,0,2010-12-06 10:04:00
0,22466,FAIRY TALE COTTAGE NIGHTLIGHT,-3,"12/6/2010,10:4",1.95,0,2010-12-06 10:04:00
0,21349,IVY HEART WREATH,-4,"12/6/2010,11:4",6.75,13497,2010-12-06 11:04:00
0,35400,WOODEN BOX ADVENT CALENDAR ,-1,"12/6/2010,11:4",8.95,14867,2010-12-06 11:04:00
0,22636,CHILDS BREAKFAST SET CIRCUS PARADE,-4,"12/6/2010,12:0",8.50,12474,2010-12-06 12:00:00
537363,84569B,,-20,"12/6/2010,12:3",0.00,0,2010-12-06 12:03:00
537364,21027,,-70,"12/6/2010,12:3",0.00,0,2010-12-06 12:03:00
0,22423,REGENCY CAKESTAND 3 TIER,-1,"12/6/2010,12:5",9.99,14487,2010-12-06 12:05:00
0,22865,HAND WARMER OWL DESIGN,-10,"12/6/2010,1:12",2.10,15882,2010-12-06 01:12:00
0,21658,GLASS  BEURRE DISH,-1,"12/6/2010,1:17",3.95,16550,2010-12-06 01:17:00
0,22197,SMALL POPCORN HOLDER,-1,"12/6/2010,1:17",0.85,16550,2010-12-06 01:17:00
0,22371,AIRLINE BAG VINTAGE TOKYO 78,-1,"12/6/2010,1:17",4.25,16550,2010-12-06 01:17:00
0,22430,ENAMEL WATERING CAN CREAM,-1,"12/6/2010,2:22",4.95,15426,2010-12-06 02:22:00
537401,84898F,,-24,"12/6/2010,2:37",0.00,0,2010-12-06 02:37:00
0,22926,IVORY GIANT GARDEN THERMOMETER,-4,"12/6/2010,2:43",5.95,15502,2010-12-06 02:43:00
0,22927,GREEN GIANT GARDEN THERMOMETER,-4,"12/6/2010,2:43",5.95,15502,2010-12-06 02:43:00
0,22849,BREAD BIN DINER STYLE MINT,-4,"12/6/2010,2:43",9.99,15502,2010-12-06 02:43:00
0,22847,BREAD BIN DINER STYLE IVORY,-4,"12/6/2010,2:43",9.99,15502,2010-12-06 02:43:00
0,47580,TEA TIME DES TEA COSY,-6,"12/6/2010,2:43",2.55,15502,2010-12-06 02:43:00
0,22196,SMALL HEART MEASURING SPOONS,-12,"12/6/2010,2:43",0.85,15502,2010-12-06 02:43:00
0,22926,IVORY GIANT GARDEN THERMOMETER,-4,"12/6/2010,2:53",5.95,15502,2010-12-06 02:53:00
0,22927,GREEN GIANT GARDEN THERMOMETER,-4,"12/6/2010,2:53",5.95,15502,2010-12-06 02:53:00
0,22847,BREAD BIN DINER STYLE IVORY,-4,"12/6/2010,2:53",9.99,15502,2010-12-06 02:53:00
0,22849,BREAD BIN DINER STYLE MINT,-4,"12/6/2010,2:53",9.99,15502,2010-12-06 02:53:00
0,47580,TEA TIME DES TEA COSY,-6,"12/6/2010,2:55",2.55,15502,2010-12-06 02:55:00
0,22196,SMALL HEART MEASURING SPOONS,-12,"12/6/2010,2:55",0.85,15502,2010-12-06 02:55:00
0,22834,HAND WARMER BABUSHKA DESIGN,-72,"12/6/2010,3:07",2.10,14409,2010-12-06 03:07:00
0,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,-6,"12/6/2010,3:09",2.95,16861,2010-12-06 03:09:00
0,22840,ROUND CAKE TIN VINTAGE RED,-1,"12/6/2010,3:10",7.95,16138,2010-12-06 03:10:00
0,22960,JAM MAKING SET WITH JARS,-1,"12/6/2010,3:12",4.25,13481,2010-12-06 03:12:00
537425,84968F,check,-20,"12/6/2010,3:35",0.00,0,2010-12-06 03:35:00
537426,84968E,check,-35,"12/6/2010,3:36",0.00,0,2010-12-06 03:36:00
537427,84968B,,-21,"12/6/2010,3:37",0.00,0,2010-12-06 03:37:00
537432,35833G,damages,-43,"12/6/2010,4:10",0.00,0,2010-12-06 04:10:00
0,21755,LOVE BUILDING BLOCK WORD,-1,"12/6/2010,4:10",5.95,16782,2010-12-06 04:10:00
0,22580,ADVENT CALENDAR GINGHAM SACK,-8,"12/7/2010,8:42",5.95,14850,2010-12-07 08:42:00
0,22418,10 COLOUR SPACEBOY PEN,-11,"12/7/2010,8:57",0.85,15021,2010-12-07 08:57:00
537449,21054,,-30,"12/7/2010,9:26",0.00,0,2010-12-07 09:26:00
537450,20684,,-19,"12/7/2010,9:26",0.00,0,2010-12-07 09:26:00
537451,84881,,-11,"12/7/2010,9:27",0.00,0,2010-12-07 09:27:00
537452,20941,,-24,"12/7/2010,9:28",0.00,0,2010-12-07 09:28:00
537453,21248,,-18,"12/7/2010,9:28",0.00,0,2010-12-07 09:28:00
537454,21349,,-44,"12/7/2010,9:30",0.00,0,2010-12-07 09:30:00
537455,22155,,-70,"12/7/2010,9:31",0.00,0,2010-12-07 09:31:00
537466,21488,,-50,"12/7/2010,10:3",0.00,0,2010-12-07 10:03:00
0,21527,RED RETROSPOT TRADITIONAL TEAPOT ,-1,"12/7/2010,11:4",7.95,13319,2010-12-07 11:04:00
0,85047,WHITE BEADED GARLAND STRING 20LIGHT,-2,"12/7/2010,11:4",6.35,13319,2010-12-07 11:04:00
0,22726,ALARM CLOCK BAKELIKE GREEN,-2,"12/7/2010,11:4",3.75,13319,2010-12-07 11:04:00
0,22968,ROSE COTTAGE KEEPSAKE BOX ,-2,"12/7/2010,12:3",9.95,17954,2010-12-07 12:03:00
0,85099B,JUMBO BAG RED RETROSPOT,-1,"12/7/2010,12:4",1.65,17511,2010-12-07 12:04:00
0,21622,VINTAGE UNION JACK CUSHION COVER,-1,"12/7/2010,12:4",4.95,17511,2010-12-07 12:04:00
0,22065,CHRISTMAS PUDDING TRINKET POT ,-1,"12/7/2010,12:4",1.25,17511,2010-12-07 12:04:00
0,22061,LARGE CAKE STAND  HANGING STRAWBERY,-1,"12/7/2010,12:4",8.50,17511,2010-12-07 12:04:00
0,22654,DELUXE SEWING KIT ,-1,"12/7/2010,12:4",4.95,17511,2010-12-07 12:04:00
0,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-1,"12/7/2010,12:4",2.55,17511,2010-12-07 12:04:00
0,22665,RECIPE BOX BLUE SKETCHBOOK DESIGN,-1,"12/7/2010,12:4",2.95,17511,2010-12-07 12:04:00
0,22197,SMALL POPCORN HOLDER,-1,"12/7/2010,12:4",0.72,17511,2010-12-07 12:04:00
0,22659,LUNCH BOX I LOVE LONDON,-4,"12/7/2010,12:4",1.65,17511,2010-12-07 12:04:00
0,22169,FAMILY ALBUM WHITE PICTURE FRAME,-1,"12/7/2010,12:4",7.65,17511,2010-12-07 12:04:00
0,21843,RED RETROSPOT CAKE STAND,-1,"12/7/2010,12:4",9.95,17511,2010-12-07 12:04:00
0,22423,REGENCY CAKESTAND 3 TIER,-2,"12/7/2010,12:4",9.99,17511,2010-12-07 12:04:00
0,84050,PINK HEART SHAPE EGG FRYING PAN,-1,"12/7/2010,12:4",1.25,17511,2010-12-07 12:04:00
0,22198,LARGE POPCORN HOLDER ,-1,"12/7/2010,12:4",1.45,17511,2010-12-07 12:04:00
0,22865,HAND WARMER OWL DESIGN,-36,"12/7/2010,1:25",2.10,17675,2010-12-07 01:25:00
0,21258,VICTORIAN SEWING BOX LARGE,-12,"12/7/2010,4:21",9.99,15100,2010-12-07 04:21:00
0,21166,COOK WITH WINE METAL SIGN ,-1,"12/8/2010,9:55",1.95,14796,2010-12-08 09:55:00
0,22301,COFFEE MUG CAT + BIRD DESIGN,-1,"12/8/2010,10:1",2.55,14901,2010-12-08 10:01:00
0,22730,ALARM CLOCK BAKELIKE IVORY,-1,"12/8/2010,10:1",3.75,14901,2010-12-08 10:01:00
537687,84840,,-9,"12/8/2010,10:2",0.00,0,2010-12-08 10:02:00
0,22156,HEART DECORATION WITH PEARLS ,-1,"12/8/2010,11:0",0.85,15021,2010-12-08 11:00:00
0,21558,SKULL LUNCH BOX WITH CUTLERY ,-1,"12/8/2010,11:0",2.55,15021,2010-12-08 11:00:00
0,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,-1,"12/8/2010,11:0",3.25,15021,2010-12-08 11:00:00
0,21914,BLUE HARMONICA IN BOX ,-24,"12/8/2010,11:3",1.25,14952,2010-12-08 11:03:00
0,84949,SILVER HANGING T-LIGHT HOLDER,-8,"12/8/2010,11:3",1.65,14952,2010-12-08 11:03:00
0,21275,ZINC TOP  2 DOOR WOODEN SHELF ,-4,"12/8/2010,11:3",9.99,14952,2010-12-08 11:03:00
0,85068,CREAM SWEETHEART SHELF + HOOKS,-1,"12/8/2010,12:0",7.95,16713,2010-12-08 12:00:00
0,90062,CARNIVAL BRACELET,-1,"12/8/2010,12:4",9.99,15916,2010-12-08 12:04:00
0,16202E,BLACK PHOTO ALBUM ,-1,"12/8/2010,12:4",5.55,15916,2010-12-08 12:04:00
0,22501,PICNIC BASKET WICKER LARGE,-1,"12/8/2010,1:07",8.50,13113,2010-12-08 01:07:00
0,22423,REGENCY CAKESTAND 3 TIER,-2,"12/8/2010,1:07",9.99,13113,2010-12-08 01:07:00
0,22469,HEART OF WICKER SMALL,-1,"12/8/2010,1:07",1.45,13113,2010-12-08 01:07:00
0,22357,KINGS CHOICE BISCUIT TIN,-1,"12/8/2010,1:07",4.25,16553,2010-12-08 01:07:00
0,35004C,SET OF 3 COLOURED  FLYING DUCKS,-1,"12/8/2010,1:18",4.65,15311,2010-12-08 01:18:00
0,40001,WHITE BAMBOO RIBS LAMPSHADE,-2,"12/8/2010,1:18",0.64,15311,2010-12-08 01:18:00
0,85047,WHITE BEADED GARLAND STRING 20LIGHT,-1,"12/8/2010,1:18",5.55,15311,2010-12-08 01:18:00
0,22719,GUMBALL MONOCHROME COAT RACK,-3,"12/8/2010,1:18",1.06,15311,2010-12-08 01:18:00
0,20798,CLEAR MILKSHAKE GLASS,-4,"12/8/2010,1:18",1.65,15311,2010-12-08 01:18:00
0,22198,LARGE POPCORN HOLDER ,-1,"12/8/2010,1:18",1.45,15311,2010-12-08 01:18:00
0,22197,SMALL POPCORN HOLDER,-1,"12/8/2010,1:18",0.72,15311,2010-12-08 01:18:00
0,20829,GLITTER HANGING BUTTERFLY STRING,-1,"12/8/2010,1:18",2.10,15311,2010-12-08 01:18:00
0,22571,ROCKING HORSE RED CHRISTMAS ,-1,"12/8/2010,1:18",0.85,15311,2010-12-08 01:18:00
0,84949,SILVER HANGING T-LIGHT HOLDER,-5,"12/8/2010,1:23",1.65,13495,2010-12-08 01:23:00
0,21730,GLASS STAR FROSTED T-LIGHT HOLDER,-3,"12/8/2010,1:23",4.95,13495,2010-12-08 01:23:00
0,21143,ANTIQUE GLASS HEART DECORATION ,-1,"12/8/2010,1:23",1.95,13495,2010-12-08 01:23:00
0,21812,GARLAND WITH HEARTS AND BELLS,-6,"12/8/2010,1:23",4.95,13495,2010-12-08 01:23:00
0,21843,RED RETROSPOT CAKE STAND,-10,"12/8/2010,1:33",9.95,14299,2010-12-08 01:33:00
