CustomerID,ItemPurchased,ItemVariety,Revenue,TotalVisit,ItemPerVisit,RevenuePerVisit
12426,258,30,543.73,1,258.00,543.73
12427,236,26,652.30,4,59.00,163.08
12428,3503,258,6545.58,10,350.30,654.56
12429,1557,82,3533.01,4,389.25,883.25
12430,117,11,218.55,1,117.00,218.55
12431,2868,163,6363.32,16,179.25,397.71
12432,1801,107,4148.41,5,360.20,829.68
12433,11071,219,13331.17,7,1581.57,1904.45
12434,373,49,765.19,3,124.33,255.06
12435,2055,31,7428.61,2,1027.50,3714.30
12436,211,16,448.99,1,211.00,448.99
12437,2918,119,4560.18,19,153.58,240.01
12438,1180,84,2562.94,2,590.00,1281.47
12441,121,11,165.54,1,121.00,165.54
12442,182,12,154.05,1,182.00,154.05
12444,1155,138,4002.35,5,231.00,800.47
12445,62,4,97.38,1,62.00,97.38
12446,352,58,967.55,1,352.00,967.55
12447,190,26,461.46,1,190.00,461.46
12448,243,22,340.41,1,243.00,340.41
12449,1553,118,3895.99,4,388.25,974.00
12450,128,7,197.88,2,64.00,98.94
12451,6455,265,8759.55,6,1075.83,1459.92
12452,183,21,368.55,3,61.00,122.85
12453,473,43,707.09,1,473.00,707.09
12454,0,15,0.00,2,0.00,0.00
12455,2089,85,2389.81,6,348.17,398.30
12456,1616,105,2667.30,4,404.00,666.82
12457,695,53,1622.02,8,86.88,202.75
12458,506,35,827.36,2,253.00,413.68
12461,287,35,676.83,2,143.50,338.42
12462,514,51,956.40,3,171.33,318.80
12463,757,66,1234.03,5,151.40,246.81
12464,112,6,871.84,8,14.00,108.98
12465,475,46,713.85,3,158.33,237.95
12468,364,36,683.72,3,121.33,227.91
12471,7965,152,17010.33,31,256.94,548.72
12472,4020,226,5919.40,8,502.50,739.93
12473,2363,140,2679.72,6,393.83,446.62
12474,4764,253,6767.36,19,250.74,356.18
12475,535,36,699.35,1,535.00,699.35
12476,2337,177,5856.56,12,194.75,488.05
12477,3620,192,12901.52,7,517.14,1843.07
12478,236,36,575.96,1,236.00,575.96
12479,351,31,453.27,2,175.50,226.64
12480,1707,129,3086.09,4,426.75,771.52
12481,3290,150,5165.31,11,299.09,469.57
12483,1097,46,2003.00,9,121.89,222.56
12484,2185,256,4078.42,7,312.14,582.63
12488,529,46,1205.03,3,176.33,401.68
12489,105,15,304.11,1,105.00,304.11
12490,3064,131,5164.60,10,306.40,516.46
12491,260,25,444.38,1,260.00,444.38
12492,192,19,247.19,2,96.00,123.60
12493,206,20,392.76,3,68.67,130.92
12494,690,63,1071.43,8,86.25,133.93
12497,1236,14,1003.05,1,1236.00,1003.05
12498,159,21,379.67,3,53.00,126.56
12500,2671,34,4087.51,12,222.58,340.63
12501,1722,149,2018.64,2,861.00,1009.32
12502,820,102,3087.64,5,164.00,617.53
12503,-1,1,-9.99,1,-1.00,-9.99
12504,51,6,89.97,3,17.00,29.99
12505,-1,1,-4.50,1,-1.00,-4.50
12506,23,23,73.50,1,23.00,73.50
12507,894,19,1090.45,4,223.50,272.61
12508,272,57,398.27,2,136.00,199.14
12509,55,7,168.49,1,55.00,168.49
12510,353,29,874.51,2,176.50,437.26
12512,99,31,138.03,2,49.50,69.02
12513,456,35,554.48,2,228.00,277.24
12514,440,51,1006.64,1,440.00,1006.64
12515,131,16,297.63,1,131.00,297.63
12516,875,20,1255.99,2,437.50,628.00
12517,1348,232,2384.79,6,224.67,397.46
12518,1318,84,1960.77,5,263.60,392.15
12519,183,17,316.81,1,183.00,316.81
12520,1430,121,2428.67,6,238.33,404.78
12521,309,38,570.69,1,309.00,570.69
12522,194,11,176.70,2,97.00,88.35
12523,861,84,1677.57,12,71.75,139.80
12524,3699,113,4225.62,8,462.38,528.20
12526,632,64,1242.04,3,210.67,414.01
12527,234,18,340.70,3,78.00,113.57
12528,750,50,1751.12,7,107.14,250.16
12530,900,51,1451.70,5,180.00,290.34
12531,45,17,105.26,1,45.00,105.26
12532,153,16,333.81,1,153.00,333.81
12534,651,63,1026.64,1,651.00,1026.64
12535,219,28,716.35,2,109.50,358.18
12536,2652,260,4021.22,4,663.00,1005.31
12538,191,21,363.95,1,191.00,363.95
12539,2066,158,5269.36,5,413.20,1053.87
12540,6677,278,11940.51,18,370.94,663.36
12541,680,46,886.11,3,226.67,295.37
12544,132,19,319.68,2,66.00,159.84
12545,523,42,889.57,2,261.50,444.78
12546,617,59,1047.53,3,205.67,349.18
12547,134,7,171.78,2,67.00,85.89
12548,49,5,77.19,1,49.00,77.19
12550,569,57,874.78,1,569.00,874.78
12551,100,10,168.00,1,100.00,168.00
12552,88,20,331.79,2,44.00,165.89
12553,1924,95,3453.75,11,174.91,313.98
12556,358,100,597.48,2,179.00,298.74
12557,4384,15,11990.96,5,876.80,2398.19
12558,0,11,0.00,2,0.00,0.00
12559,281,21,520.19,3,93.67,173.40
12560,1078,92,1998.31,4,269.50,499.58
12561,177,16,238.85,1,177.00,238.85
12562,1779,99,3549.84,7,254.14,507.12
12564,133,21,411.99,1,133.00,411.99
12565,75,9,131.17,2,37.50,65.59
12566,264,19,322.67,2,132.00,161.34
12567,4089,323,8501.54,11,371.73,772.87
12569,1793,92,3647.51,33,54.33,110.53
12571,523,31,519.61,2,261.50,259.80
12572,450,53,926.18,3,150.00,308.73
12573,84,26,160.54,1,84.00,160.54
12574,61,11,202.43,1,61.00,202.43
12576,964,72,1275.10,6,160.67,212.52
12577,466,137,595.40,4,116.50,148.85
12578,1171,112,2478.62,3,390.33,826.21
12579,278,29,389.18,2,139.00,194.59
12580,238,24,399.68,1,238.00,399.68
12581,161,15,189.70,1,161.00,189.70
12582,300,21,391.32,2,150.00,195.66
12583,5009,115,6858.63,16,313.06,428.66
12584,354,44,1751.52,10,35.40,175.15
12585,1258,77,1851.49,3,419.33,617.16
12586,77,12,179.53,2,38.50,89.77
12587,51,4,113.99,1,51.00,113.99
12588,53,10,176.49,1,53.00,176.49
12589,306,29,588.16,2,153.00,294.08
12590,4279,68,9348.37,3,1426.33,3116.12
12591,228,26,398.82,1,228.00,398.82
12592,290,11,421.58,2,145.00,210.79
12593,206,14,402.08,3,68.67,134.03
12594,1776,50,3248.18,11,161.45,295.29
12596,474,25,510.21,2,237.00,255.10
12597,2187,184,3227.87,5,437.40,645.57
12598,1940,84,2903.80,9,215.56,322.64
12599,956,32,968.50,7,136.57,138.36
12600,773,32,2460.89,11,70.27,223.72
12601,244,21,499.55,6,40.67,83.26
12602,162,12,149.20,1,162.00,149.20
12603,64,3,629.37,1,64.00,629.37
12604,201,15,246.17,2,100.50,123.08
12605,-4,3,-7.50,1,-4.00,-7.50
12607,0,101,0.00,2,0.00,0.00
12609,648,57,1054.76,3,216.00,351.59
12610,1028,85,1753.36,6,171.33,292.23
12611,846,65,1189.40,1,846.00,1189.40
12612,251,19,627.57,2,125.50,313.79
12613,1596,124,3095.80,6,266.00,515.97
12614,76,20,315.60,1,76.00,315.60
12615,1376,82,2197.56,4,344.00,549.39
12616,273,25,625.21,3,91.00,208.40
12617,213,39,355.53,1,213.00,355.53
12618,96,11,147.30,1,96.00,147.30
12619,3354,50,3067.48,10,335.40,306.75
12620,1181,89,1323.39,3,393.67,441.13
12621,7404,261,12944.92,21,352.57,616.42
12622,69,11,163.81,1,69.00,163.81
12623,191,18,289.08,1,191.00,289.08
12624,355,36,606.33,2,177.50,303.17
12625,1577,74,2475.30,3,525.67,825.10
12626,3350,232,6001.58,10,335.00,600.16
12627,2752,162,4284.19,7,393.14,612.03
12628,445,34,745.58,4,111.25,186.39
12630,548,60,1081.10,2,274.00,540.55
12631,236,31,520.46,1,236.00,520.46
12633,1149,73,2036.50,5,229.80,407.30
12635,1172,96,1608.12,2,586.00,804.06
12637,2990,205,5826.53,9,332.22,647.39
12638,577,39,551.65,1,577.00,551.65
12639,201,22,391.11,1,201.00,391.11
12640,311,47,1049.69,3,103.67,349.90
12641,72,10,155.89,1,72.00,155.89
12642,552,39,958.24,3,184.00,319.41
12643,1808,11,3223.46,6,301.33,537.24
12644,325,31,475.15,1,325.00,475.15
12645,1072,58,1691.30,5,214.40,338.26
12646,897,43,1338.69,2,448.50,669.35
12647,1420,79,3316.72,13,109.23,255.13
12648,160,21,310.04,1,160.00,310.04
12649,574,30,579.68,4,143.50,144.92
12650,254,20,282.40,1,254.00,282.40
12651,78,9,114.00,1,78.00,114.00
12652,502,48,848.54,2,251.00,424.27
12653,919,37,2163.77,2,459.50,1081.89
12654,264,31,567.18,5,52.80,113.44
12656,1708,89,3747.40,6,284.67,624.57
12657,654,35,1049.34,5,130.80,209.87
12658,320,36,659.26,1,320.00,659.26
12659,105,5,83.67,1,105.00,83.67
12660,127,13,237.09,1,127.00,237.09
12662,2040,129,3660.95,12,170.00,305.08
12664,1202,10,4531.74,10,120.20,453.17
12665,36,3,53.74,2,18.00,26.87
12666,-56,2,-227.44,1,-56.00,-227.44
12667,395,33,500.09,1,395.00,500.09
12668,1595,115,3460.55,5,319.00,692.11
12669,1114,98,1520.67,4,278.50,380.17
12670,1391,58,2874.01,6,231.83,479.00
12672,78,10,225.90,1,78.00,225.90
12673,351,42,594.50,2,175.50,297.25
12674,1102,52,1773.96,5,220.40,354.79
12676,670,33,1151.33,6,111.67,191.89
12678,10899,105,16481.35,13,838.38,1267.80
12679,530,45,986.58,5,106.00,197.32
12680,443,33,830.77,4,110.75,207.69
12681,7518,267,13022.91,23,326.87,566.21
12682,5575,209,11677.33,31,179.84,376.69
12683,4903,177,7793.49,16,306.44,487.09
12684,1985,61,2193.51,7,283.57,313.36
12685,1523,117,2724.72,6,253.83,454.12
12686,107,7,81.13,1,107.00,81.13
12688,3028,171,4571.78,1,3028.00,4571.78
12689,628,57,1199.55,2,314.00,599.78
12690,106,16,354.94,1,106.00,354.94
12691,394,21,987.74,6,65.67,164.62
12693,250,35,766.88,5,50.00,153.38
12694,509,32,789.21,2,254.50,394.60
12695,220,23,582.10,4,55.00,145.53
12697,499,37,788.97,4,124.75,197.24
12700,2963,193,4681.42,5,592.60,936.28
12701,678,50,751.75,2,339.00,375.88
12702,53,12,210.99,1,53.00,210.99
12703,161,21,266.69,2,80.50,133.34
12704,1003,64,1820.40,9,111.44,202.27
12705,3973,228,6546.03,10,397.30,654.60
12707,256,33,581.34,1,256.00,581.34
12708,1270,86,2447.77,11,115.45,222.52
12709,3832,103,9013.77,16,239.50,563.36
12710,849,75,1074.50,4,212.25,268.63
12712,1044,59,4031.34,14,74.57,287.95
12713,508,38,812.76,1,508.00,812.76
12714,3069,216,4516.35,5,613.80,903.27
12715,197,20,293.84,1,197.00,293.84
12716,708,60,1013.44,2,354.00,506.72
12717,505,49,830.99,3,168.33,277.00
12718,203,19,222.23,1,203.00,222.23
12719,361,34,568.53,3,120.33,189.51
12720,4654,211,5416.06,26,179.00,208.31
12721,1954,134,2474.15,7,279.14,353.45
12722,560,50,893.56,5,112.00,178.71
12723,434,53,681.30,5,86.80,136.26
12724,445,47,983.35,4,111.25,245.84
12725,164,24,391.78,1,164.00,391.78
12726,3143,57,2520.99,7,449.00,360.14
12727,2085,109,3714.09,8,260.63,464.26
12728,419,38,773.11,4,104.75,193.28
12729,233,26,436.99,1,233.00,436.99
12731,8366,109,17927.78,13,643.54,1379.06
12732,111,12,228.25,1,111.00,228.25
12733,137,22,367.39,1,137.00,367.39
12734,88,4,110.40,1,88.00,110.40
12735,368,38,718.68,2,184.00,359.34
12736,173,4,193.95,1,173.00,193.95
12738,148,11,147.34,1,148.00,147.34
12739,486,38,863.13,2,243.00,431.57
12740,342,27,427.60,1,342.00,427.60
12743,319,114,532.99,2,159.50,266.49
12744,5234,178,8804.96,8,654.25,1100.62
12747,1275,42,4179.57,11,115.91,379.96
12748,24210,1769,30100.71,211,114.74,142.66
12749,1422,160,3733.17,6,237.00,622.20
12750,137,15,271.96,1,137.00,271.96
12752,2262,53,4366.78,1,2262.00,4366.78
12753,11250,132,20934.73,7,1607.14,2990.68
12754,6479,50,2990.76,4,1619.75,747.69
12755,866,5,2210.76,3,288.67,736.92
12756,144,4,112.08,1,144.00,112.08
12757,2385,237,4076.93,14,170.36,291.21
12758,2135,84,2791.59,2,1067.50,1395.80
12759,902,81,1458.25,3,300.67,486.08
12762,1227,62,1772.45,2,613.50,886.23
12763,316,16,494.08,2,158.00,247.04
12764,386,45,1565.88,1,386.00,1565.88
12766,3646,205,6647.44,7,520.86,949.63
12769,356,32,1128.24,1,356.00,1128.24
12770,743,12,1351.45,1,743.00,1351.45
12772,556,55,791.88,1,556.00,791.88
12775,853,47,1309.21,6,142.17,218.20
12778,824,40,755.44,7,117.71,107.92
12779,1996,88,3860.42,9,221.78,428.94
12781,592,25,677.71,3,197.33,225.90
12782,1070,81,2021.18,6,178.33,336.86
12783,622,76,1400.80,7,88.86,200.11
12784,300,54,537.03,2,150.00,268.52
12785,128,14,262.73,2,64.00,131.37
12787,261,17,448.63,3,87.00,149.54
12789,4,4,39.96,1,4.00,39.96
12790,166,21,314.90,1,166.00,314.90
12791,97,2,187.59,1,97.00,187.59
12792,217,25,359.56,1,217.00,359.56
12793,295,21,491.45,2,147.50,245.73
12794,592,43,860.41,2,296.00,430.20
12795,68,14,339.12,1,68.00,339.12
12797,79,13,176.17,2,39.50,88.09
12798,5256,6,6977.04,3,1752.00,2325.68
12802,302,25,402.56,2,151.00,201.28
12808,188,27,465.64,3,62.67,155.21
12809,219,25,424.81,2,109.50,212.41
12811,230,27,479.83,3,76.67,159.94
12812,164,15,229.64,1,164.00,229.64
12814,49,2,95.91,1,49.00,95.91
12815,379,38,891.33,2,189.50,445.67
12816,128,27,445.25,2,64.00,222.63
12817,53,4,136.03,1,53.00,136.03
12818,923,14,1208.11,2,461.50,604.06
12820,722,55,942.34,4,180.50,235.58
12821,70,6,92.72,1,70.00,92.72
12822,548,41,918.98,3,182.67,306.33
12823,230,1,1759.50,5,46.00,351.90
12824,232,25,397.12,1,232.00,397.12
12826,1054,58,1468.12,8,131.75,183.51
12827,197,19,430.15,3,65.67,143.38
12828,494,46,1011.75,6,82.33,168.63
12829,375,9,182.25,3,125.00,60.75
12830,9847,14,6804.65,7,1406.71,972.09
12831,135,9,209.53,1,135.00,209.53
12832,195,27,383.03,2,97.50,191.52
12833,156,24,409.66,1,156.00,409.66
12834,110,18,312.38,1,110.00,312.38
12836,1064,148,2475.27,4,266.00,618.82
12837,24,12,121.62,1,24.00,121.62
12838,359,115,673.66,2,179.50,336.83
12839,3804,96,5578.10,15,253.60,371.87
12840,1505,67,2714.27,5,301.00,542.85
12841,2683,230,3838.84,26,103.19,147.65
12842,547,34,1052.70,2,273.50,526.35
12843,753,69,1659.80,9,83.67,184.42
12844,125,47,325.96,2,62.50,162.98
12845,204,26,354.09,4,51.00,88.52
12847,909,72,871.54,1,909.00,871.54
12849,623,47,1050.89,2,311.50,525.44
12851,109,43,128.22,1,109.00,128.22
12852,145,17,292.31,2,72.50,146.16
12853,782,66,1848.58,7,111.71,264.08
12854,622,97,1286.39,4,155.50,321.60
12855,30,3,38.10,1,30.00,38.10
12856,1076,155,2149.13,7,153.71,307.02
12857,343,37,1099.68,2,171.50,549.84
12863,186,5,504.20,2,93.00,252.10
12864,216,3,147.12,1,216.00,147.12
12865,877,87,1498.53,3,292.33,499.51
12866,171,26,536.20,1,171.00,536.20
12867,4274,241,3986.22,8,534.25,498.28
12868,928,72,1601.54,6,154.67,266.92
12870,-2,2,-14.90,1,-2.00,-14.90
12871,200,8,380.64,2,100.00,190.32
12872,319,58,594.45,2,159.50,297.22
12873,128,4,374.00,1,128.00,374.00
12875,2019,1,343.23,2,1009.50,171.62
12876,1941,67,2133.15,2,970.50,1066.58
12877,1178,100,1535.77,12,98.17,127.98
12878,536,38,841.64,3,178.67,280.55
12879,363,7,552.57,4,90.75,138.14
12881,21,7,112.99,1,21.00,112.99
12882,246,12,1463.04,2,123.00,731.52
12883,196,39,680.76,4,49.00,170.19
12884,43,7,159.03,1,43.00,159.03
12885,654,66,1133.87,4,163.50,283.47
12886,761,75,1337.79,3,253.67,445.93
12888,68,4,307.17,3,22.67,102.39
12890,259,78,380.47,1,259.00,380.47
12891,950,2,331.00,3,316.67,110.33
12893,96,27,188.14,1,96.00,188.14
12895,204,22,339.52,3,68.00,113.17
12897,110,3,216.50,2,55.00,108.25
12901,20915,32,16293.10,29,721.21,561.83
12902,66,10,124.76,1,66.00,124.76
12904,302,59,490.76,2,151.00,245.38
12906,1749,55,2917.05,5,349.80,583.41
12908,0,2,246.00,3,0.00,82.00
12909,1270,78,1652.68,6,211.67,275.45
12910,1692,48,3075.04,8,211.50,384.38
12912,670,17,1662.30,5,134.00,332.46
12913,1419,37,2473.61,5,283.80,494.72
12915,93,19,350.69,2,46.50,175.35
12916,1111,53,2927.65,5,222.20,585.53
12917,120,2,594.00,1,120.00,594.00
12919,668,34,1301.44,7,95.43,185.92
12920,129,27,150.31,1,129.00,150.31
12921,9454,233,16369.10,38,248.79,430.77
12922,370,28,405.38,1,370.00,405.38
12923,69,28,176.97,1,69.00,176.97
12924,480,22,927.19,5,96.00,185.44
12925,541,42,686.53,2,270.50,343.26
12928,1472,59,2062.70,5,294.40,412.54
12929,36,8,97.94,2,18.00,48.97
12930,250,20,407.14,3,83.33,135.71
12931,23377,29,33462.81,16,1461.06,2091.43
12933,498,103,606.28,4,124.50,151.57
12935,1852,80,2156.45,8,231.50,269.56
12936,539,56,1012.90,5,107.80,202.58
12937,1007,81,1501.51,4,251.75,375.38
12938,140,9,114.14,1,140.00,114.14
12939,4876,21,11581.80,8,609.50,1447.73
12940,406,88,845.06,3,135.33,281.69
12942,203,68,657.62,3,67.67,219.21
12943,-1,1,-3.75,1,-1.00,-3.75
12944,289,29,599.49,2,144.50,299.75
12945,165,23,451.91,1,165.00,451.91
12947,1157,83,1395.37,7,165.29,199.34
12948,1077,82,2048.18,8,134.63,256.02
12949,2363,166,4134.74,9,262.56,459.42
12950,1380,13,1843.00,3,460.00,614.33
12951,500,54,1035.11,7,71.43,147.87
12952,652,64,1352.24,5,130.40,270.45
12953,84,17,304.92,1,84.00,304.92
12955,3642,81,4734.26,12,303.50,394.52
12956,34,19,101.11,1,34.00,101.11
12957,2531,208,3938.75,9,281.22,437.64
12962,129,15,260.87,2,64.50,130.44
12963,873,76,1824.72,9,97.00,202.75
12965,283,108,763.63,1,283.00,763.63
12966,75,10,157.67,1,75.00,157.67
12967,243,21,975.19,3,81.00,325.06
12968,73,5,135.95,1,73.00,135.95
12970,310,116,443.96,4,77.50,110.99
12971,9203,95,10923.30,87,105.78,125.56
12974,24,8,134.84,1,24.00,134.84
12976,561,22,738.60,1,561.00,738.60
12977,12,9,29.23,1,12.00,29.23
12980,864,6,3697.50,10,86.40,369.75
12981,242,12,372.22,2,121.00,186.11
12982,278,28,377.20,2,139.00,188.60
12984,26,4,97.50,1,26.00,97.50
12985,1413,73,1215.62,3,471.00,405.21
12987,217,27,491.49,3,72.33,163.83
12988,136,75,524.28,1,136.00,524.28
12989,2915,41,6788.27,16,182.19,424.27
12990,200,8,409.50,3,66.67,136.50
12991,405,31,503.76,2,202.50,251.88
12993,240,26,414.76,4,60.00,103.69
12994,440,52,893.94,4,110.00,223.49
12995,98,3,200.72,2,49.00,100.36
12997,648,45,1152.19,5,129.60,230.44
12999,342,25,428.28,3,114.00,142.76
13000,379,30,534.85,3,126.33,178.28
13001,5497,166,9797.92,14,392.64,699.85
13002,73,7,120.95,1,73.00,120.95
13003,103,4,149.05,3,34.33,49.68
13004,4796,277,5602.39,19,252.42,294.86
13005,167,21,453.89,3,55.67,151.30
13006,55,4,73.29,1,55.00,73.29
13008,115,15,178.47,2,57.50,89.24
13011,13,3,50.55,1,13.00,50.55
13012,671,68,1303.34,9,74.56,144.82
13013,2217,155,4749.36,14,158.36,339.24
13014,886,67,3162.63,11,80.55,287.51
13015,1617,156,3032.73,5,323.40,606.55
13016,527,39,759.29,3,175.67,253.10
13017,48,1,204.00,1,48.00,204.00
13018,5434,313,7237.64,29,187.38,249.57
13021,1336,103,2525.41,10,133.60,252.54
13023,286,36,659.84,2,143.00,329.92
13026,1586,34,936.15,6,264.33,156.02
13027,17280,6,6912.00,6,2880.00,1152.00
13028,796,40,659.68,3,265.33,219.89
13029,134,8,715.90,3,44.67,238.63
13030,394,76,752.50,2,197.00,376.25
13032,367,55,975.44,3,122.33,325.15
13033,83,11,190.55,1,83.00,190.55
13034,369,37,637.81,2,184.50,318.91
13035,627,23,886.63,3,209.00,295.54
13037,431,44,878.31,3,143.67,292.77
13038,360,24,908.46,3,120.00,302.82
13040,355,38,676.99,2,177.50,338.50
13043,251,13,446.77,2,125.50,223.39
13044,429,33,538.39,1,429.00,538.39
13045,221,18,305.28,1,221.00,305.28
13046,264,33,548.78,2,132.00,274.39
13047,1355,106,3068.25,11,123.18,278.93
13048,1230,77,1805.91,5,246.00,361.18
13049,268,14,651.16,2,134.00,325.58
13050,3707,246,5598.81,18,205.94,311.05
13052,222,18,348.15,1,222.00,348.15
13055,891,74,1199.20,4,222.75,299.80
13058,52,5,271.40,3,17.33,90.47
13059,35,8,164.08,1,35.00,164.08
13060,123,15,307.53,1,123.00,307.53
13061,107,10,248.61,1,107.00,248.61
13062,343,11,330.93,1,343.00,330.93
13064,516,51,1102.00,4,129.00,275.50
13065,74,14,203.10,1,74.00,203.10
13066,320,48,425.63,3,106.67,141.88
13067,32,14,115.46,1,32.00,115.46
13068,200,1,344.00,2,100.00,172.00
13069,5466,285,3715.31,25,218.64,148.61
13070,110,9,228.80,1,110.00,228.80
13072,69,7,177.15,1,69.00,177.15
13075,485,22,919.61,1,485.00,919.61
13077,863,99,729.27,4,215.75,182.32
13078,5557,96,12410.08,27,205.81,459.63
13079,62,2,220.10,5,12.40,44.02
13080,120,6,58.08,1,120.00,58.08
13081,19021,511,27834.48,12,1585.08,2319.54
13082,4313,63,3588.52,10,431.30,358.85
13083,187,15,296.79,2,93.50,148.40
13085,108,17,272.38,3,36.00,90.79
13089,30787,636,56675.07,98,314.15,578.32
13090,2194,98,8439.22,15,146.27,562.61
13091,450,21,319.82,2,225.00,159.91
13092,271,19,459.83,6,45.17,76.64
13093,3943,99,7496.71,9,438.11,832.97
13094,1542,4,1708.86,13,118.62,131.45
13095,144,6,74.40,1,144.00,74.40
13097,2341,215,5710.13,11,212.82,519.10
13098,15911,163,28152.08,29,548.66,970.76
13099,288,1,207.36,1,288.00,207.36
13101,113,8,101.19,1,113.00,101.19
13102,4160,141,6328.76,25,166.40,253.15
13103,82,8,243.94,1,82.00,243.94
13104,504,14,1098.48,6,84.00,183.08
13106,14,1,59.50,2,7.00,29.75
13107,1288,54,1524.07,5,257.60,304.81
13108,298,10,350.06,1,298.00,350.06
13109,514,41,766.84,3,171.33,255.61
13110,384,109,1416.87,8,48.00,177.11
13113,2594,113,10470.52,25,103.76,418.82
13115,1534,92,2145.71,5,306.80,429.14
13116,290,30,468.19,2,145.00,234.10
13117,945,66,958.95,8,118.13,119.87
13118,389,68,1109.99,6,64.83,185.00
13120,12,1,30.60,1,12.00,30.60
13121,227,50,254.73,2,113.50,127.36
13122,585,54,922.39,2,292.50,461.20
13124,2147,185,3779.57,3,715.67,1259.86
13126,2130,124,2046.82,9,236.67,227.42
13127,127,15,259.17,1,127.00,259.17
13130,32,2,64.00,1,32.00,64.00
13131,443,30,1039.30,4,110.75,259.82
13132,20,3,77.30,1,20.00,77.30
13133,32,7,109.80,2,16.00,54.90
13134,1044,94,1727.08,5,208.80,345.42
13135,4300,1,3096.00,1,4300.00,3096.00
13136,1312,97,2520.54,6,218.67,420.09
13137,2225,346,3640.42,9,247.22,404.49
13138,473,31,962.39,6,78.83,160.40
13139,2418,132,5032.58,8,302.25,629.07
13140,186,40,418.20,3,62.00,139.40
13141,1547,113,2374.76,6,257.83,395.79
13142,258,23,307.09,1,258.00,307.09
13144,21,3,97.15,1,21.00,97.15
13145,142,5,329.76,5,28.40,65.95
13146,154,16,228.91,1,154.00,228.91
13147,144,1,712.80,4,36.00,178.20
13148,1828,238,3266.87,13,140.62,251.30
13149,1280,76,1670.54,4,320.00,417.63
13151,361,73,1154.29,2,180.50,577.15
13153,418,15,486.22,1,418.00,486.22
13154,-1,1,-9.99,1,-1.00,-9.99
13155,497,67,959.08,4,124.25,239.77
13157,1430,69,1721.57,5,286.00,344.31
13158,784,59,1201.06,4,196.00,300.27
13159,1045,114,1371.72,5,209.00,274.34
13160,56,4,91.80,1,56.00,91.80
13161,29,8,112.75,1,29.00,112.75
13162,1663,74,1644.99,5,332.60,329.00
13165,1376,40,1021.48,2,688.00,510.74
13166,214,39,414.70,2,107.00,207.35
13167,785,51,785.81,4,196.25,196.45
13168,680,102,1299.10,5,136.00,259.82
13169,272,11,646.64,2,136.00,323.32
13170,147,29,116.01,1,147.00,116.01
